  12328 species:ncbi:33208	animales
   8488 species:ncbi:9606	hombre
   7034 species:ncbi:33090	planta
   6270 species:ncbi:9822	Sus
   6054 species:ncbi:33208	animal
   5427 species:ncbi:9606	humano
   4451 species:ncbi:10140	cuya
   4443 species:ncbi:9844	llama
   3453 species:ncbi:2	bacterias
   3445 species:ncbi:40674	mamíferos
   3410 species:ncbi:10239	virus
   3287 species:ncbi:50557	insectos
   2885 species:ncbi:21024	haya
   2834 species:ncbi:176054	c
   2622 species:ncbi:8782	ave
   2458 species:ncbi:9606	ser humano
   2328 species:ncbi:662032	perro
   2095 species:ncbi:9608	perros
   1749 species:ncbi:9685	gato
   1722 species:ncbi:33090	vegetal
   1717 species:ncbi:9796	caballo
   1667 species:ncbi:9604	del hombre
   1613 species:ncbi:4113	papa
   1442 species:ncbi:73327	mito
   1389 species:ncbi:4751	hongos
   1382 species:ncbi:4577	maíz
   1284 species:ncbi:4479	hierba
   1265 species:ncbi:9689	león
   1227 species:ncbi:49669	Paris
   1173 species:ncbi:58024	semilla
   1071 species:ncbi:3884	judía
   1024 species:ncbi:4564	trigo
   1013 species:ncbi:9694	tigre
    988 species:ncbi:2	bacteria
    945 species:ncbi:12721	VIH
    903 species:ncbi:3554	beta
    820 species:ncbi:4090	tabaco
    806 species:ncbi:9605	Homo
    774 species:ncbi:8570	serpiente
    755 species:ncbi:36668	hormigas
    751 species:ncbi:9821	cerdo
    719 species:ncbi:3633	algodón
    711 species:ncbi:3319	pino
    671 species:ncbi:8570	serpientes
    663 species:ncbi:34735	abeja
    662 species:ncbi:10090	ratón
    658 species:ncbi:3511	Quercus
    628 species:ncbi:9632	oso
    625 species:ncbi:40674	mamífero
    606 species:ncbi:9596	Pan
    603 species:ncbi:8487	tortugas
    597 species:ncbi:5338	hongo
    588 species:ncbi:6657	crustáceos
    587 species:ncbi:5258	óxido
    585 species:ncbi:9443	primates
    585 species:ncbi:7460	Apis mellifera
    584 species:ncbi:8782	Aves
    576 species:ncbi:3337	Pinus
    572 species:ncbi:4081	tomate
    553 species:ncbi:34814	dorado
    517 species:ncbi:3511	roble
    514 species:ncbi:2708	limón
    507 species:ncbi:9430	vampiro
    501 species:ncbi:3749	manzana
    491 species:ncbi:50557	insecto
    483 species:ncbi:8782	pájaro
    460 species:ncbi:9031	pollo
    458 species:ncbi:226940	ballena
    438 species:ncbi:3847	soja
    437 species:ncbi:37564	Ruta
    433 species:ncbi:3398	angiospermas
    432 species:ncbi:9696	puma
    432 species:ncbi:4679	cebolla
    427 species:ncbi:8500	cocodrilo
    415 species:ncbi:13894	coco
    410 species:ncbi:9839	llamas
    404 species:ncbi:8226	listado
    401 species:ncbi:189527	indicador
    389 species:ncbi:4107	Solanum
    383 species:ncbi:9691	leopardo
    381 species:ncbi:4479	gramíneas
    381 species:ncbi:13216	pimienta
    380 species:ncbi:6893	araña
    379 species:ncbi:227176	corredor
    374 species:ncbi:3712	col
    370 species:ncbi:4512	cebada
    365 species:ncbi:32189	del valle
    361 species:ncbi:9850	ciervo
    357 species:ncbi:426484	lisa
    351 species:ncbi:6178	gusano
    347 species:ncbi:33554	carnívoro
    346 species:ncbi:98964	cardenal
    339 species:ncbi:8930	paloma
    333 species:ncbi:8931	palomas
    332 species:ncbi:9606	Homo sapiens
    332 species:ncbi:10114	rata
    330 species:ncbi:6893	arañas
    328 species:ncbi:16718	nuez
    323 species:ncbi:58023	plantas vasculares
    321 species:ncbi:123380	solitarios
    320 species:ncbi:9940	oveja
    312 species:ncbi:8399	rana
    304 species:ncbi:39509	Agave
    298 species:ncbi:9224	loros
    293 species:ncbi:3593	cactus
    292 species:ncbi:29780	mango
    289 species:ncbi:37572	mariposa
    287 species:ncbi:71950	Psilocybe
    283 species:ncbi:9231	pingüino
    283 species:ncbi:13125	lince
    282 species:ncbi:4210	Asteraceae
    280 species:ncbi:9263	marsupiales
    275 species:ncbi:4005	lino
    273 species:ncbi:72766	Formica
    267 species:ncbi:9231	pingüinos
    265 species:ncbi:9808	rinoceronte
    265 species:ncbi:7459	Apis
    260 species:ncbi:4022	Acer
    259 species:ncbi:3208	musgos
    257 species:ncbi:59430	Helichrysum
    255 species:ncbi:58949	azafrán
    255 species:ncbi:56781	cuervo
    252 species:ncbi:9867	Dama
    249 species:ncbi:3319	Abies
    248 species:ncbi:9397	murciélago
    247 species:ncbi:36048	tubérculo
    242 species:ncbi:94231	mero
    241 species:ncbi:37067	albatros
    239 species:ncbi:7041	escarabajos
    230 species:ncbi:13215	Piper
    226 species:ncbi:4479	Poaceae
    222 species:ncbi:3483	marihuana
    221 species:ncbi:9980	liebre
    220 species:ncbi:8952	halcón
    220 species:ncbi:4113	patata
    218 species:ncbi:160821	Chaos
    217 species:ncbi:45894	laurel
    216 species:ncbi:3660	Cucurbita
