species:ncbi:36911	Clavispora lusitaniae
species:ncbi:84096	Gordonia alkanivorans 
species:ncbi:30412	Gaviidae
species:ncbi:44065	Geotrichum klebahnii 
species:ncbi:135826	Jeotgalibacillus alimentarius 
species:ncbi:178882	Anodorhynchus leari 
species:ncbi:91940	Ramichloridium schulzeri 
species:ncbi:33178	Aspergillus terreus
species:ncbi:121235	Pichia manshurica 
species:ncbi:816	Bacteroides 
species:ncbi:1767	Mycobacterium intracellulare
species:ncbi:165751	pito tridáctilo
species:ncbi:5417	Vanrija humicola 
species:ncbi:84566	Sphingobacteriaceae 
species:ncbi:378215	Enterobius anthropopitheci 
species:ncbi:182681	Desmana
species:ncbi:43873	zygophyllaceae - abrojo
species:ncbi:123405	Catha edulis
species:ncbi:146936	Azonexus
species:ncbi:549	Erwinia herbicola - lathyri
species:ncbi:2192	Methanocorpusculum
species:ncbi:870	Bacteroides nodosus 
species:ncbi:3925	Lonchocarpus
species:ncbi:1203436	Curvularia borreriae 
species:ncbi:494514	Vulpes lagopus
species:ncbi:7823	cornudilla
species:ncbi:38667	Onychomys
species:ncbi:507038	Dasypsyllus
species:ncbi:658924	Plectropterus gambensis
species:ncbi:225084	Erysipelothrix inopinata 
species:ncbi:887469	Streptomyces staurosporininus 
species:ncbi:7858	Rajiformes
species:ncbi:46474	Aerodramus
species:ncbi:1010786	Emmelichthyops atlanticus
species:ncbi:198943	gorrión zacatero coliblanco
species:ncbi:8032	Salmo trutta 
species:ncbi:2267273	Dibothriocephalus, SAI
species:ncbi:9546	Macaca sylvanus
species:ncbi:41425	Phacochoerus
species:ncbi:224372	Alcanivoracaceae
species:ncbi:30454	fulmar
species:ncbi:83681	s de Nonomuraea
species:ncbi:264697	Bacillus muralis 
species:ncbi:144561	Pyracantha
species:ncbi:1016	Capnocytophaga
species:ncbi:51139	copa escarlata
species:ncbi:35545	perico regente
species:ncbi:46842	Leopardus tigrinus
species:ncbi:134700	Arum frog 
species:ncbi:345127	Parthenocissus tricuspidata
species:ncbi:319534	Anopheles philippinensis 
species:ncbi:65959	Acetobacter pomorum 
species:ncbi:204072	Ramlibacter henchirensis 
species:ncbi:4667	Liliales
species:ncbi:893	Desulfobulbus 
species:ncbi:68724	Canis aureus
species:ncbi:85074	Halochromatium 
species:ncbi:218107	Fomirella
species:ncbi:391189	myrichthys maculosus
species:ncbi:106676	Frangula 
species:ncbi:123841	Helicobacter canadensis
species:ncbi:82346	Ornithinicoccus hortensis 
species:ncbi:2056301	Poria corticola
species:ncbi:9005	Phasianidae 
species:ncbi:319776	Paralichthys californicus
species:ncbi:6283	Onchocerca gutturosa
species:ncbi:7982	Cobitidae - locha
species:ncbi:1272267	Madsenia 
species:ncbi:83763	Succinivibrionaceae
species:ncbi:384065	Crotalus mitchelli 
species:ncbi:176013	Ara chloroptera 
species:ncbi:2113	Mycoplasma californicum
species:ncbi:206499	Erwinia papayae
species:ncbi:1657	Eubacterium suis
species:ncbi:135166	bucconidae
species:ncbi:200951	Melilotus indica 
